Hs in m, Tp in sec, Dp in deg, Depth in m

 yr,  mo,  da,  hr,  mn,  sc,  Hs,  H1/10, H1/3, Hmax,  Tp, T1/10, T1/3, Tmax,   Dp,  Depth,     CM,       CD
22,09,29,12,27,00,0.46,0.69,0.55,0.95, 8.5, 7.5, 7.0, 7.1, 198, 13.006,   0.170,   349
22,09,29,14,27,00,0.43,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 201, 12.524,   0.137,   138
22,09,29,16,27,00,0.32,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 177, 10.869,   0.276,   183
22,09,29,18,27,00,0.28,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 287,  9.826,   0.079,   236
22,09,29,20,27,00,0.31,0.47,0.37,0.69, 6.7, 7.1, 6.5, 6.9, 185, 10.260,   0.128,   299
22,09,29,22,27,00,0.40,0.59,0.46,0.79, 7.5, 6.8, 6.4, 6.6, 169, 11.572,   0.289,   343
22,09,30,00,27,00,0.27,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 197, 12.600,   0.191,   347
22,09,30,02,27,00,0.33,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 197, 12.470,   0.132,   153
22,09,30,04,27,00,0.22,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 173, 11.216,   0.259,   182
22,09,30,06,27,00,0.21,0.31,0.24,-0.00, 7.5, 6.8, 5.6,-0.1, 173, 10.128,   0.109,   232
22,09,30,08,27,00,0.26,0.36,0.29,-0.00, 7.5, 7.5, 6.7,-0.1, 173, 10.399,   0.137,   289
22,09,30,10,27,00,0.17,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 181, 11.650,   0.272,   342
22,09,30,12,27,00,0.16,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 221, 12.763,   0.215,   340
22,09,30,14,27,00,0.25,0.36,0.29,0.54, 8.5, 5.7, 4.7, 7.4, 185, 12.817,   0.030,    75
22,09,30,16,27,00,0.27,0.42,0.33,0.62, 8.5, 5.9, 4.9, 6.4, 177, 11.553,   0.307,   166
22,09,30,18,27,00,0.13,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1,  21, 10.103,   0.134,   203
22,09,30,20,27,00,0.17,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 185,  9.981,   0.171,   242
22,09,30,22,27,00,0.16,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 181, 10.952,   0.228,   332
22,10,01,00,27,00,0.13,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 205, 12.154,   0.178,   337
22,10,01,02,27,00,0.16,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 181, 12.542,   0.047,    12
22,10,01,04,27,00,0.16,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 165, 11.767,   0.231,   146
22,10,01,06,27,00,0.26,0.39,0.31,-0.00, 8.5, 8.8, 7.6,-0.1, 165, 10.469,   0.163,   198
22,10,01,08,27,00,0.24,0.33,0.26,-0.00, 9.8, 6.7, 5.4,-0.1, 177, 10.220,   0.133,   250
22,10,01,10,27,00,0.16,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 181, 11.097,   0.190,   327
22,10,01,12,27,00,0.13,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 189, 12.362,   0.217,   334
22,10,01,14,27,00,0.21,0.38,0.30,-0.00, 8.5, 5.7, 4.7,-0.1, 193, 12.898,   0.072,   347
22,10,01,16,27,00,0.23,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 189, 12.192,   0.194,   138
22,10,01,18,27,00,0.29,0.54,0.43,-0.00, 7.5, 6.6, 6.1,-0.1, 189, 10.728,   0.182,   189
22,10,01,20,27,00,0.23,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 177,  9.988,   0.081,   281
22,10,01,22,27,00,0.47,0.59,0.48,0.72, 6.7, 6.5, 6.2, 6.0, 177, 10.454,   0.155,   312
22,10,02,00,27,00,0.32,0.59,0.47,0.82, 6.7, 6.7, 6.4,11.4, 165, 11.678,   0.213,   341
22,10,02,02,27,00,0.29,-0.00,-0.00,-0.00,14.2,-0.1,-0.1,-0.1, 169, 12.436,   0.099,   334
22,10,02,04,27,00,0.31,-0.00,-0.00,-0.00,11.6,-0.1,-0.1,-0.1, 193, 12.216,   0.141,   160
22,10,02,06,27,00,0.28,-0.00,-0.00,-0.00,11.6,-0.1,-0.1,-0.1, 193, 11.087,   0.203,   186
22,10,02,08,27,00,0.44,0.58,0.46,0.81,11.6, 9.5, 7.4,10.5, 177, 10.326,   0.162,   235
22,10,02,10,27,00,0.44,0.69,0.58,-0.00,11.6, 6.6, 5.4,-0.1, 189, 10.690,   0.119,   297
22,10,02,12,27,00,0.46,-0.00,-0.00,-0.00,11.6,-0.1,-0.1,-0.1, 177, 11.872,   0.226,   332
22,10,02,14,27,00,0.48,0.59,0.48,0.78,11.6, 6.0, 4.9, 8.6, 189, 12.890,   0.149,   332
22,10,02,16,27,00,0.48,0.60,0.48,0.83,11.6, 6.9, 5.4,10.4, 181, 12.802,   0.082,   136
22,10,02,18,27,00,0.40,0.62,0.49,-0.00,11.6, 6.0, 5.2,-0.1, 169, 11.640,   0.216,   178
22,10,02,20,27,00,0.34,0.47,0.37,0.65, 9.8, 8.5, 7.4, 7.0, 193, 10.388,   0.126,   209
22,10,02,22,27,00,0.33,0.45,0.36,0.63, 9.8, 7.5, 6.5, 8.8, 181, 10.260,   0.173,   256
22,10,03,00,27,00,0.19,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 181, 11.057,   0.163,   336
22,10,03,02,27,00,0.19,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 181, 12.219,   0.203,   335
22,10,03,04,27,00,0.28,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 189, 12.550,   0.027,    57
22,10,03,06,27,00,0.27,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 186, 11.954,   0.129,   141
22,10,03,08,27,00,0.32,0.54,0.47,0.64, 7.5, 5.8, 5.2, 6.6, 193, 10.850,   0.152,   205
22,10,03,10,27,00,0.34,0.45,0.36,0.60, 8.5, 6.0, 5.1, 6.1, 193, 10.535,   0.182,   243
